year_month,Actor1CountryCode,Actor2CountryCode,total_events,geo_unrest_score,total_gov_gov_events,total_ngov_gov_events,total_gov_ngov_events,pol_involve_score,suri_score,avg_goldstein,total_mentions,total_sources,total_articles,avg_tone,ingested_at
2025-01-01,COD,TUR,3,0,0,0,0,0.0,0.0,-0.3,6,3,6,-10.899062504060765,2026-02-25T01:53:14.770Z
2025-01-01,CHN,PAK,11,0,0,0,0,0.0,0.0,3.036363636363636,30,11,30,2.639064905877949,2026-02-25T01:53:14.770Z
2025-01-01,ISR,CHN,3,0,0,0,0,0.0,0.0,2.0,8,3,7,-1.50627615062762,2026-02-25T01:53:14.770Z
2025-01-01,ETH,BRA,1,0,0,0,0,0.0,0.0,0.0,10,1,10,6.34920634920635,2026-02-25T01:53:14.770Z
2025-01-01,RUS,IRN,13,0,0,0,0,0.0,0.0,2.715384615384615,36,13,36,-0.23372334585078466,2026-02-25T01:53:14.770Z
2025-01-01,GBR,ISR,58,8,0,0,0,0.0,0.0,-0.3224137931034482,243,65,235,-4.669578779472377,2026-02-25T01:53:14.770Z
2025-01-01,PAK,PAK,131,9,3,0,1,0.030534351145038167,0.2748091603053435,-0.8160305343511448,446,133,445,-3.1161545599230807,2026-02-25T01:53:14.770Z
2025-01-01,PSE,DEU,10,3,0,0,0,0.0,0.0,-4.819999999999999,30,10,30,-7.11820407610273,2026-02-25T01:53:14.770Z
2025-01-01,EGY,TUR,14,0,0,0,0,0.0,0.0,2.5214285714285714,44,14,38,1.5983890804533163,2026-02-25T01:53:14.770Z
2025-01-01,ISR,PAK,3,0,0,0,0,0.0,0.0,1.0,6,3,6,-3.56997971602434,2026-02-25T01:53:14.770Z
2025-01-01,IND,GBR,6,0,0,0,0,0.0,0.0,-2.066666666666667,26,6,26,0.35923829762331166,2026-02-25T01:53:14.770Z
2025-01-01,FRA,UKR,21,0,0,0,0,0.0,0.0,5.038095238095239,60,21,60,-2.1791863658043966,2026-02-25T01:53:14.770Z
2025-01-01,EGY,PAK,2,0,0,0,0,0.0,0.0,1.0,7,2,7,-1.01663585951941,2026-02-25T01:53:14.770Z
2025-01-01,UKR,PRK,45,0,0,0,0,0.0,0.0,-2.3533333333333326,155,48,155,-3.5246977288255046,2026-02-25T01:53:14.770Z
2025-01-01,TUR,TUR,51,1,1,0,0,0.0196078431372549,0.0196078431372549,0.8764705882352939,175,58,157,-1.4690790143693342,2026-02-25T01:53:14.770Z
2025-01-01,USA,USA,5020,156,103,54,78,0.046812749003984064,7.302788844621514,0.46631474103586074,16431,5287,16174,-2.547051993087714,2026-02-25T01:53:14.770Z
2025-01-01,RUS,CHN,57,3,0,0,0,0.0,0.0,1.0280701754385964,240,60,156,-0.5871487629441774,2026-02-25T01:53:14.770Z
2025-01-01,KOR,RWA,2,0,0,0,0,0.0,0.0,-5.0,8,2,8,-7.75862068965516,2026-02-25T01:53:14.770Z
2025-01-01,SYR,USA,47,5,0,0,1,0.02127659574468085,0.10638297872340426,0.16170212765957456,89,49,89,-3.1680887667507855,2026-02-25T01:53:14.770Z
2025-01-01,DEU,ARG,1,0,0,0,0,0.0,0.0,0.0,1,1,1,-3.36426914153132,2026-02-25T01:53:14.770Z
2025-01-01,PAK,IRN,6,0,0,0,0,0.0,0.0,4.0,31,6,31,5.642687680054227,2026-02-25T01:53:14.770Z
2025-01-01,IRN,IND,2,0,0,0,0,0.0,0.0,2.8,12,2,12,-4.34782608695652,2026-02-25T01:53:14.770Z
2025-01-01,VEN,VEN,51,3,2,0,1,0.058823529411764705,0.1764705882352941,1.8019607843137255,134,55,134,-3.4226020946416056,2026-02-25T01:53:14.770Z
